FID IID CapYear ID
1 3030 1997 2868
1 3154 1997 2871
1 3431 1998 2871
1 2870 1996 2871
1 3841 1999 2873
1 3189 1997 2873
1 3500 1998 2873
1 2450 1995 2873
1 3545 1998 2880
1 2439 1995 2880
1 2782 1996 2884
1 2513 1995 2884
1 4136 2000 2892
1 2783 1996 2892
1 3843 1999 2892
1 2543 1995 2898
1 3190 1997 2898
1 3191 1997 2899
1 3505 1998 2899
1 3243 1997 2901
1 2904 1996 2903
1 2497 1995 2903
1 3499 1998 2906
1 2534 1995 2906
1 3192 1997 2908
1 2451 1995 2908
1 4562 2001 2908
1 3745 1999 2908
1 2452 1995 2921
1 3155 1997 2927
1 4575 2001 2927
1 3428 1998 2927
1 2656 1996 2927
1 7192 2002 2927
1 8185 2004 2927
1 3822 1999 2927
1 2481 1995 2931
1 7007 2001 2931
1 3544 1998 2931
1 2784 1996 2931
1 3031 1997 2933
1 2886 1996 2933
1 3747 1999 2941
1 2682 1996 2941
1 4026 2000 2941
1 2390 1995 2941
1 3032 1997 2941
1 3432 1998 2941
1 3033 1997 2942
1 4561 2001 2942
1 2657 1996 2942
1 3351 1998 2942
1 3850 1999 2963
1 3429 1998 2963
1 4560 2001 2963
1 2659 1996 2963
1 3035 1997 2963
1 4088 2000 2963
1 2374 1995 2964
1 3036 1997 2964
1 2660 1996 2964
1 3353 1998 2964
1 2419 1995 2966
1 2902 1996 2850
1 3193 1997 3002
1 2778 1996 3002
1 7190 2002 3002
1 7765 2003 3002
1 8180 2004 3009
1 3424 1998 3009
1 3893 1999 3002
1 4614 2001 3009
1 3194 1997 3009
1 3894 1999 3009
1 2565 1996 3009
1 3195 1997 3027
1 3497 1998 3033
1 2649 1996 3033
1 3796 1999 3048
1 3037 1997 3061
1 7265 2002 3076
1 3541 1998 3076
1 3196 1997 3076
1 7710 2003 3076
1 2650 1996 3088
1 2779 1996 3100
1 3038 1997 3111
1 3496 1998 3027
1 2686 1996 3111
1 3744 1999 3111
1 2651 1996 3116
1 3244 1997 3121
1 4615 2001 3121
1 3498 1998 3121
1 3347 1998 3123
1 2652 1996 3123
1 3743 1999 3123
1 3039 1997 3123
1 4025 2000 3123
1 3245 1997 3129
1 3840 1999 3129
1 3425 1998 3111
1 3040 1997 3198
1 3736 1999 3198
1 4555 2001 3198
1 3197 1997 3199
1 7708 2003 3201
1 8179 2004 3201
1 3889 1999 3201
1 7269 2002 3201
1 4086 2000 3202
1 7587 2003 3202
1 4618 2001 3202
1 3729 1999 3202
1 3041 1997 3202
1 7120 2002 3198
1 3042 1997 3203
1 3730 1999 3203
1 4617 2001 3203
1 4019 2000 3203
1 7583 2003 3203
1 4085 2000 3209
1 8170 2004 3209
1 7271 2002 3209
1 3888 1999 3214
1 3494 1998 3214
1 7268 2002 3214
1 3246 1997 3221
1 3422 1998 3203
1 3734 1999 3224
1 3043 1997 3224
1 4619 2001 3224
1 3417 1998 3227
1 3157 1997 3227
1 3839 1999 3232
1 3199 1997 3232
1 3795 1999 3236
1 3492 1998 3236
1 8255 2004 3236
1 3886 1999 3237
1 7266 2002 3237
1 3044 1997 3239
1 3338 1998 3239
1 3892 1999 3248
1 4616 2001 3248
1 4087 2000 3248
1 8967 2005 3250
1 3045 1997 3250
1 7585 2003 3250
1 4024 2000 3250
1 8173 2004 3250
1 3821 1999 3250
1 7117 2002 3250
1 3339 1998 3250
1 4415 2001 3250
1 3410 1998 3252
1 3046 1997 3252
1 3411 1998 3253
1 3047 1997 3253
1 8968 2005 3255
1 3048 1997 3255
1 3740 1999 3255
1 4414 2001 3255
1 7116 2002 3255
1 10158 2008 3255
1 8177 2004 3255
1 4023 2000 3255
1 9147 2006 3255
1 3198 1997 3222
1 3419 1998 3255
1 9680 2007 3255
1 3890 1999 3259
1 9679 2007 3259
1 7764 2003 3259
1 7270 2002 3259
1 3049 1997 3260
1 4551 2001 3260
1 3346 1998 3260
1 4081 2000 3260
1 3200 1997 3263
1 3247 1997 3265
1 7273 2002 3265
1 3838 1999 3265
1 4473 2001 3265
1 8256 2004 3265
1 3050 1997 3267
1 3248 1997 3268
1 4022 2000 3268
1 7118 2002 3268
1 9146 2006 3268
1 8966 2005 3268
1 8172 2004 3268
1 4417 2001 3268
1 3345 1998 3268
1 7588 2003 3268
1 3735 1999 3268
1 3249 1997 3270
1 3416 1998 3270
1 3340 1998 3273
1 7189 2002 3273
1 3737 1999 3273
1 4554 2001 3273
1 3051 1997 3273
1 4550 2001 3275
1 7187 2002 3275
1 8241 2004 3275
1 7621 2003 3275
1 3052 1997 3275
1 7584 2003 3255
1 3053 1997 3276
1 3418 1998 3276
1 3238 1997 3278
1 8174 2004 3279
1 7586 2003 3279
1 4574 2001 3279
1 4082 2000 3279
1 3849 1999 3279
1 7185 2002 3279
1 3054 1997 3279
1 4084 2000 3280
1 7119 2002 3280
1 9681 2007 3280
1 7589 2003 3280
1 8178 2004 3280
1 4552 2001 3280
1 8969 2005 3280
1 9149 2006 3280
1 3055 1997 3280
1 3342 1998 3280
1 3819 1999 3280
1 4630 2001 3281
1 3728 1999 3281
1 7272 2002 3282
1 3493 1998 3282
1 3250 1997 3282
1 4416 2001 3282
1 4412 2001 3285
1 7113 2002 3285
1 4017 2000 3285
1 3415 1998 3285
1 3056 1997 3285
1 3732 1999 3285
1 7112 2002 3286
1 8240 2004 3286
1 4411 2001 3286
1 7581 2003 3286
1 3057 1997 3286
1 3731 1999 3286
1 4016 2000 3286
1 3414 1998 3286
1 3058 1997 3287
1 3420 1998 3287
1 7114 2002 3289
1 8168 2004 3289
1 3412 1998 3289
1 3739 1999 3290
1 3741 1999 3291
1 3343 1998 3291
1 4413 2001 3291
1 4018 2000 3291
1 8175 2004 3291
1 7582 2003 3291
1 7115 2002 3291
1 4100 2000 3292
1 3059 1997 3295
1 4102 2000 3296
1 3060 1997 3296
1 4133 2000 3300
1 3887 1999 3300
1 3251 1997 3300
1 3495 1998 3300
1 3252 1997 3301
1 4135 2000 3301
1 3344 1998 3303
1 3061 1997 3303
1 4079 2000 3303
1 8176 2004 3303
1 7590 2003 3303
1 7188 2002 3303
1 4553 2001 3303
1 3742 1999 3303
1 4021 2000 3306
1 8171 2004 3306
1 7622 2003 3306
1 3738 1999 3306
1 3062 1997 3306
1 3421 1998 3306
1 4629 2001 3306
1 3820 1999 3307
1 3423 1998 3307
1 4080 2000 3307
1 3063 1997 3307
1 3158 1997 3308
1 3064 1997 3310
1 3794 1999 3314
1 3891 1999 3316
1 4474 2001 3316
1 4134 2000 3316
1 4101 2000 3317
1 3065 1997 3317
1 4099 2000 3318
1 3253 1997 3318
1 7709 2003 3319
1 3558 1998 3320
1 8169 2004 3326
1 4083 2000 3326
1 9148 2006 3326
1 4549 2001 3326
1 3413 1998 3326
1 3159 1997 3326
1 7186 2002 3326
1 8970 2005 3326
1 4020 2000 3328
1 3733 1999 3328
1 3818 1999 3330
1 4556 2001 3330
1 3341 1998 3275
1 3882 1999 3414
1 4611 2001 3414
1 7763 2003 3420
1 9190 2006 3420
1 8965 2005 3420
1 3793 1999 3420
1 8167 2004 3420
1 10093 2008 3420
1 3556 1998 3423
1 7263 2002 3428
1 7707 2003 3428
1 8162 2004 3431
1 3536 1998 3414
1 9779 2007 3431
1 4078 2000 3440
1 3789 1999 3440
1 4098 2000 3442
1 3836 1999 3443
1 4472 2001 3443
1 3885 1999 3445
1 8161 2004 3445
1 7108 2002 3445
1 4131 2000 3447
1 4148 2000 3468
1 3817 1999 3468
1 3726 1999 3469
1 4077 2000 3469
1 3330 1998 3469
1 3337 1998 3471
1 3725 1999 3471
1 4015 2000 3471
1 4409 2001 3471
1 4547 2001 3473
1 3837 1999 3473
1 3537 1998 3473
1 4128 2000 3488
1 4471 2001 3488
1 7761 2003 3488
1 3538 1998 3488
1 9145 2006 3490
1 7579 2003 3490
1 8961 2005 3490
1 3727 1999 3490
1 7006 2001 3490
1 7111 2002 3490
1 4012 2000 3490
1 3331 1998 3490
1 8163 2004 3490
1 3408 1998 3509
1 9246 2006 3533
1 7762 2003 3533
1 3487 1998 3538
1 8254 2004 3538
1 3883 1999 3538
1 3488 1998 3552
1 7264 2002 3552
1 3884 1999 3552
1 9245 2006 3552
1 7575 2003 3559
1 8960 2005 3559
1 7181 2002 3559
1 4546 2001 3559
1 3332 1998 3559
1 8160 2004 3559
